delta,P
0.0,0.0
0.05,1.9067328368368834
0.1,3.8134656736706214
0.15000000000000002,5.720198510489434
0.2,7.626931347326958
0.25,9.53366418415013
0.30000000000000004,11.440397021020733
0.35000000000000003,13.347129857807603
0.4,15.253862694620887
0.45,17.072359161827293
0.5,18.633962528147073
0.55,20.179831125334847
0.6000000000000001,21.725699518281473
0.65,23.271567825331726
0.7000000000000001,24.81743608109796
0.75,26.362863797742698
0.8,27.769611251254616
0.8500000000000001,28.861790010803432
0.9,29.90178488727371
0.9500000000000001,30.941779402142444
1.0,31.9817737965831
