time,delta,P
0,0,0
0.0099999998,0.0099999998,0.35906737
0.02,0.02,0.71813473
0.035,0.035,1.2567358
0.057500001,0.057500001,2.0646374
0.091250002,0.091250002,3.2764897
0.141875,0.141875,5.0942683
0.21781249,0.21781249,7.8209362
0.3178125,0.3178125,11.41161
0.4178125,0.4178125,15.002284
0.51781249,0.51781249,18.013587
0.61781251,0.61781251,20.234832
0.71781248,0.71781248,22.456078
0.8178125,0.8178125,24.677323
0.91781253,0.91781253,26.898568
1.0178125,1.0178125,29.119814
1.1178125,1.1178125,28.613017
1.2178125,1.2178125,28.370617
1.3178124,1.3178124,26.44101
1.4178125,1.4178125,26.232104
1.5178125,1.5178125,24.603136
1.6178125,1.6178125,24.421022
1.7178125,1.7178125,23.028856
1.8178124,1.8178124,22.868518
1.8428125,1.8428125,22.828433
1.8803124,1.8803124,22.768306
1.9365625,1.9365625,21.639455
2.0209374,2.0209374,21.519309
2.1209376,2.1209376,21.376913
2.2209375,2.2209375,20.344397
2.3209374,2.3209374,20.216967
2.4209375,2.4209375,20.089537
2.4407032,2.4407032,19.28662
2.4703515,2.4703515,19.25258
2.5,2.5,19.21854
